SubjectID,task,block,TYPE,LV,Accuracy,count,propTrials,RT_mean,RT_std
8571533,2FC,2.0,SiSSN,L1,0,2.0,0.17,1205.5,127.9863273947651
8571533,2FC,2.0,SiSSN,L1,1,10.0,0.83,1295.5,193.59192476271664
8571533,2FC,2.0,SiSSN,L1,miss,,,,
8571533,2FC,2.0,SiSSN,L2,0,,,,
8571533,2FC,2.0,SiSSN,L2,1,12.0,1.0,1232.8333333333333,257.69285217212774
8571533,2FC,2.0,SiSSN,L2,miss,,,,
8571533,2FC,2.0,SiSSN,L3,0,1.0,0.08,1576.0,
8571533,2FC,2.0,SiSSN,L3,1,11.0,0.92,1138.3636363636365,114.04759771891098
8571533,2FC,2.0,SiSSN,L3,miss,,,,
8571533,2FC,2.0,SiSSN,L4,0,,,,
8571533,2FC,2.0,SiSSN,L4,1,12.0,1.0,1099.1666666666667,175.21821892264586
8571533,2FC,2.0,SiSSN,L4,miss,,,,
8571533,2FC,2.0,SiSSN,L5,0,,,,
8571533,2FC,2.0,SiSSN,L5,1,12.0,1.0,1116.4166666666667,178.24266315811423
8571533,2FC,2.0,SiSSN,L5,miss,,,,
8571557,2FC,1.0,NV,L1,0,3.0,0.25,1227.6666666666667,60.11932578907825
8571557,2FC,1.0,NV,L1,1,9.0,0.75,1137.7777777777778,251.64994425678788
8571557,2FC,1.0,NV,L1,miss,,,,
8571557,2FC,1.0,NV,L2,0,2.0,0.17,830.5,67.17514421272202
8571557,2FC,1.0,NV,L2,1,10.0,0.83,1182.5,207.52844517211503
8571557,2FC,1.0,NV,L2,miss,,,,
8571557,2FC,1.0,NV,L3,0,1.0,0.08,1561.0,
8571557,2FC,1.0,NV,L3,1,11.0,0.92,1109.0,187.60597005426027
8571557,2FC,1.0,NV,L3,miss,,,,
8571557,2FC,1.0,NV,L4,0,3.0,0.25,1083.3333333333333,10.785793124908976
8571557,2FC,1.0,NV,L4,1,9.0,0.75,999.7777777777778,163.9540924906861
8571557,2FC,1.0,NV,L4,miss,,,,
8571557,2FC,1.0,NV,L5,0,6.0,0.5,1159.8333333333333,253.98772936239783
8571557,2FC,1.0,NV,L5,1,6.0,0.5,1030.6666666666667,120.37552353641776
8571557,2FC,1.0,NV,L5,miss,,,,
8571557,2FC,1.0,SiSSN,L1,0,3.0,0.25,1075.6666666666667,154.54557040993873
8571557,2FC,1.0,SiSSN,L1,1,8.0,0.67,939.375,99.18372202274784
8571557,2FC,1.0,SiSSN,L1,miss,1.0,0.08,,
8571557,2FC,1.0,SiSSN,L2,0,,,,
8571557,2FC,1.0,SiSSN,L2,1,12.0,1.0,965.0833333333334,78.70942918370227
8571557,2FC,1.0,SiSSN,L2,miss,,,,
8571557,2FC,1.0,SiSSN,L3,0,1.0,0.08,815.0,
8571557,2FC,1.0,SiSSN,L3,1,11.0,0.92,896.6363636363636,183.51418077482336
8571557,2FC,1.0,SiSSN,L3,miss,,,,
8571557,2FC,1.0,SiSSN,L4,0,3.0,0.25,793.6666666666666,79.35573913292806
8571557,2FC,1.0,SiSSN,L4,1,9.0,0.75,977.8888888888888,139.3291466675624
8571557,2FC,1.0,SiSSN,L4,miss,,,,
8571557,2FC,1.0,SiSSN,L5,0,2.0,0.17,796.5,64.34671708797582
8571557,2FC,1.0,SiSSN,L5,1,9.0,0.75,903.8888888888888,142.95580125028545
8571557,2FC,1.0,SiSSN,L5,miss,1.0,0.08,,
8571557,2FC,2.0,NV,L1,0,2.0,0.17,956.5,200.11121907579292
8571557,2FC,2.0,NV,L1,1,10.0,0.83,960.7,185.64305654789365
8571557,2FC,2.0,NV,L1,miss,,,,
8571557,2FC,2.0,NV,L2,0,2.0,0.17,880.5,168.99852070358486
8571557,2FC,2.0,NV,L2,1,10.0,0.83,966.0,199.98444383945912
8571557,2FC,2.0,NV,L2,miss,,,,
8571557,2FC,2.0,NV,L3,0,2.0,0.17,1025.0,124.45079348883236
8571557,2FC,2.0,NV,L3,1,9.0,0.75,1084.6666666666667,264.3189361358736
8571557,2FC,2.0,NV,L3,miss,1.0,0.08,,
8571557,2FC,2.0,NV,L4,0,7.0,0.58,1100.7142857142858,236.4901085216281
8571557,2FC,2.0,NV,L4,1,5.0,0.42,939.6,176.3782866454939
8571557,2FC,2.0,NV,L4,miss,,,,
8571557,2FC,2.0,NV,L5,0,3.0,0.25,924.3333333333334,87.20282870029693
8571557,2FC,2.0,NV,L5,1,9.0,0.75,922.5555555555557,135.82443733650354
8571557,2FC,2.0,NV,L5,miss,,,,
8571557,2FC,2.0,SiSSN,L1,0,3.0,0.25,1075.0,240.12704970494264
8571557,2FC,2.0,SiSSN,L1,1,9.0,0.75,906.5555555555557,92.97057479535005
8571557,2FC,2.0,SiSSN,L1,miss,,,,
8571557,2FC,2.0,SiSSN,L2,0,4.0,0.33,1141.25,104.14853175473318
8571557,2FC,2.0,SiSSN,L2,1,8.0,0.67,949.625,118.47475620208238
8571557,2FC,2.0,SiSSN,L2,miss,,,,
8571557,2FC,2.0,SiSSN,L3,0,1.0,0.08,1300.0,
8571557,2FC,2.0,SiSSN,L3,1,11.0,0.92,981.9090909090908,222.5787296870276
8571557,2FC,2.0,SiSSN,L3,miss,,,,
8571557,2FC,2.0,SiSSN,L4,0,2.0,0.17,803.5,174.65537495307723
8571557,2FC,2.0,SiSSN,L4,1,10.0,0.83,932.8,118.07041213708972
8571557,2FC,2.0,SiSSN,L4,miss,,,,
8571557,2FC,2.0,SiSSN,L5,0,1.0,0.08,999.0,
8571557,2FC,2.0,SiSSN,L5,1,11.0,0.92,891.6363636363636,97.70903000979256
8571557,2FC,2.0,SiSSN,L5,miss,,,,
8571561,2FC,1.0,NV,L1,0,2.0,0.17,1168.5,30.405591591021544
8571561,2FC,1.0,NV,L1,1,9.0,0.75,1069.111111111111,206.69690638979364
8571561,2FC,1.0,NV,L1,miss,1.0,0.08,,
8571561,2FC,1.0,NV,L2,0,2.0,0.17,1244.0,48.08326112068523
8571561,2FC,1.0,NV,L2,1,10.0,0.83,1097.5,280.17306159665753
8571561,2FC,1.0,NV,L2,miss,,,,
8571561,2FC,1.0,NV,L3,0,6.0,0.5,1230.6666666666667,224.975257898878
8571561,2FC,1.0,NV,L3,1,6.0,0.5,987.1666666666666,189.95411726695127
8571561,2FC,1.0,NV,L3,miss,,,,
8571561,2FC,1.0,NV,L4,0,4.0,0.33,1197.75,177.14095141063984
8571561,2FC,1.0,NV,L4,1,8.0,0.67,999.25,155.1199996316216
8571561,2FC,1.0,NV,L4,miss,,,,
8571561,2FC,1.0,NV,L5,0,5.0,0.42,1028.0,194.7793623564879
8571561,2FC,1.0,NV,L5,1,7.0,0.58,1102.571428571429,174.71773153943394
8571561,2FC,1.0,NV,L5,miss,,,,
8571561,2FC,1.0,SiSSN,L1,0,2.0,0.17,1489.0,647.7098115668775
8571561,2FC,1.0,SiSSN,L1,1,10.0,0.83,951.1,139.85742740376716
8571561,2FC,1.0,SiSSN,L1,miss,,,,
8571561,2FC,1.0,SiSSN,L2,0,3.0,0.25,1099.0,275.17449009673845
8571561,2FC,1.0,SiSSN,L2,1,9.0,0.75,1016.8888888888888,172.10566844561254
8571561,2FC,1.0,SiSSN,L2,miss,,,,
8571561,2FC,1.0,SiSSN,L3,0,1.0,0.08,1036.0,
8571561,2FC,1.0,SiSSN,L3,1,11.0,0.92,1035.5454545454545,168.1180321300268
8571561,2FC,1.0,SiSSN,L3,miss,,,,
8571561,2FC,1.0,SiSSN,L4,0,3.0,0.25,923.0,240.39966722106752
8571561,2FC,1.0,SiSSN,L4,1,9.0,0.75,1018.7777777777778,249.4387589057572
8571561,2FC,1.0,SiSSN,L4,miss,,,,
8571561,2FC,1.0,SiSSN,L5,0,2.0,0.17,1226.5,335.87572106361006
8571561,2FC,1.0,SiSSN,L5,1,10.0,0.83,1071.9,253.08516353196208
8571561,2FC,1.0,SiSSN,L5,miss,,,,
8571561,2FC,2.0,NV,L1,0,1.0,0.08,1090.0,
8571561,2FC,2.0,NV,L1,1,11.0,0.92,1209.8181818181818,228.7228970531014
8571561,2FC,2.0,NV,L1,miss,,,,
8571561,2FC,2.0,NV,L2,0,4.0,0.33,1095.5,81.48824046040835
8571561,2FC,2.0,NV,L2,1,8.0,0.67,1035.75,212.0254364794133
8571561,2FC,2.0,NV,L2,miss,,,,
8571561,2FC,2.0,NV,L3,0,4.0,0.33,1234.75,337.8829925679401
8571561,2FC,2.0,NV,L3,1,8.0,0.67,1099.625,163.17119625017853
8571561,2FC,2.0,NV,L3,miss,,,,
8571561,2FC,2.0,NV,L4,0,1.0,0.08,976.0,
8571561,2FC,2.0,NV,L4,1,11.0,0.92,1050.4545454545455,171.7308147283787
8571561,2FC,2.0,NV,L4,miss,,,,
8571561,2FC,2.0,NV,L5,0,1.0,0.08,1085.0,
8571561,2FC,2.0,NV,L5,1,11.0,0.92,967.7272727272727,161.09009336957433
8571561,2FC,2.0,NV,L5,miss,,,,
8571561,2FC,2.0,SiSSN,L1,0,6.0,0.5,1064.0,199.5374651537901
8571561,2FC,2.0,SiSSN,L1,1,6.0,0.5,1020.8333333333334,252.01064792319127
8571561,2FC,2.0,SiSSN,L1,miss,,,,
8571561,2FC,2.0,SiSSN,L2,0,1.0,0.08,1190.0,
8571561,2FC,2.0,SiSSN,L2,1,11.0,0.92,987.2727272727273,159.76676181802705
8571561,2FC,2.0,SiSSN,L2,miss,,,,
8571561,2FC,2.0,SiSSN,L3,0,3.0,0.25,1061.3333333333333,85.65823564219222
8571561,2FC,2.0,SiSSN,L3,1,9.0,0.75,980.1111111111112,172.38941705078972
8571561,2FC,2.0,SiSSN,L3,miss,,,,
8571561,2FC,2.0,SiSSN,L4,0,,,,
8571561,2FC,2.0,SiSSN,L4,1,12.0,1.0,996.5,323.3327866287161
8571561,2FC,2.0,SiSSN,L4,miss,,,,
8571561,2FC,2.0,SiSSN,L5,0,1.0,0.08,977.0,
8571561,2FC,2.0,SiSSN,L5,1,11.0,0.92,921.0,115.47640451624738
8571561,2FC,2.0,SiSSN,L5,miss,,,,
8571582,2FC,1.0,NV,L1,0,6.0,0.5,1442.3833332856495,138.72083353947647
8571582,2FC,1.0,NV,L1,1,6.0,0.5,1295.050000031789,239.95938612474137
8571582,2FC,1.0,NV,L1,miss,,,,
8571582,2FC,1.0,NV,L2,0,2.0,0.17,1516.9999998807907,116.10693350454858
8571582,2FC,1.0,NV,L2,1,10.0,0.83,1386.7199999570846,283.53308566512527
8571582,2FC,1.0,NV,L2,miss,,,,
8571582,2FC,1.0,NV,L3,0,4.0,0.33,1165.074999988079,41.853106225853885
8571582,2FC,1.0,NV,L3,1,8.0,0.67,1378.3625000417233,272.96249318972394
8571582,2FC,1.0,NV,L3,miss,,,,
8571582,2FC,1.0,NV,L4,0,1.0,0.08,1465.3999998569489,
8571582,2FC,1.0,NV,L4,1,11.0,0.92,1366.3181818398562,113.0235799604105
8571582,2FC,1.0,NV,L4,miss,,,,
8571582,2FC,1.0,NV,L5,0,1.0,0.08,1532.5,
8571582,2FC,1.0,NV,L5,1,11.0,0.92,1383.3181818181818,205.35194573798523
8571582,2FC,1.0,NV,L5,miss,,,,
8571582,2FC,1.0,SiSSN,L1,0,5.0,0.42,1380.1000000476838,95.3011804604646
8571582,2FC,1.0,SiSSN,L1,1,7.0,0.58,1280.7285714490074,187.6943855839124
8571582,2FC,1.0,SiSSN,L1,miss,,,,
8571582,2FC,1.0,SiSSN,L2,0,5.0,0.42,1218.0599999427795,108.11636323723712
8571582,2FC,1.0,SiSSN,L2,1,7.0,0.58,1247.899999993188,100.201480348574
8571582,2FC,1.0,SiSSN,L2,miss,,,,
8571582,2FC,1.0,SiSSN,L3,0,3.0,0.25,1218.4999999999998,103.67482823126991
8571582,2FC,1.0,SiSSN,L3,1,9.0,0.75,1178.577777783076,105.5528751165603
8571582,2FC,1.0,SiSSN,L3,miss,,,,
8571582,2FC,1.0,SiSSN,L4,0,2.0,0.17,1141.0,26.58721490517955
8571582,2FC,1.0,SiSSN,L4,1,10.0,0.83,1202.810000014305,118.2849990605518
8571582,2FC,1.0,SiSSN,L4,miss,,,,
8571582,2FC,1.0,SiSSN,L5,0,3.0,0.25,1249.733333349228,248.5361206710776
8571582,2FC,1.0,SiSSN,L5,1,9.0,0.75,1210.688888947169,84.03892619731121
8571582,2FC,1.0,SiSSN,L5,miss,,,,
8571582,2FC,2.0,NV,L1,0,3.0,0.25,1252.6666666666667,133.26850097098188
8571582,2FC,2.0,NV,L1,1,9.0,0.75,1289.0111111534966,235.95594640980525
8571582,2FC,2.0,NV,L1,miss,,,,
8571582,2FC,2.0,NV,L2,0,3.0,0.25,1403.033333381017,158.3657897023186
8571582,2FC,2.0,NV,L2,1,9.0,0.75,1393.3555555343628,218.6535393129188
8571582,2FC,2.0,NV,L2,miss,,,,
8571582,2FC,2.0,NV,L3,0,1.0,0.08,1445.2999999523165,
8571582,2FC,2.0,NV,L3,1,11.0,0.92,1284.3363636623728,124.33671433471936
8571582,2FC,2.0,NV,L3,miss,,,,
8571582,2FC,2.0,NV,L4,0,3.0,0.25,1492.966666618983,32.2497029227735
8571582,2FC,2.0,NV,L4,1,8.0,0.67,1406.7999999523165,248.4754140663132
8571582,2FC,2.0,NV,L4,miss,1.0,0.08,,
8571582,2FC,2.0,NV,L5,0,3.0,0.25,1361.733333349228,236.27590514454883
8571582,2FC,2.0,NV,L5,1,9.0,0.75,1305.722222195731,229.4476126528776
8571582,2FC,2.0,NV,L5,miss,,,,
8571582,2FC,2.0,SiSSN,L1,0,1.0,0.08,1421.5,
8571582,2FC,2.0,SiSSN,L1,1,11.0,0.92,1276.5909090692346,146.64932631183245
8571582,2FC,2.0,SiSSN,L1,miss,,,,
8571582,2FC,2.0,SiSSN,L2,0,,,,
8571582,2FC,2.0,SiSSN,L2,1,12.0,1.0,1281.75,136.29890612493608
8571582,2FC,2.0,SiSSN,L2,miss,,,,
8571582,2FC,2.0,SiSSN,L3,0,2.0,0.17,1358.4000000953674,253.00280644341663
8571582,2FC,2.0,SiSSN,L3,1,10.0,0.83,1309.2599999904633,237.40931929431332
8571582,2FC,2.0,SiSSN,L3,miss,,,,
8571582,2FC,2.0,SiSSN,L4,0,1.0,0.08,1266.0,
8571582,2FC,2.0,SiSSN,L4,1,11.0,0.92,1167.4272727316077,133.28076452613382
8571582,2FC,2.0,SiSSN,L4,miss,,,,
8571582,2FC,2.0,SiSSN,L5,0,,,,
8571582,2FC,2.0,SiSSN,L5,1,12.0,1.0,1175.1749999920528,122.19537352738443
8571582,2FC,2.0,SiSSN,L5,miss,,,,
8571594,2FC,1.0,NV,L1,0,4.0,0.33,1297.5,136.98296731102496
8571594,2FC,1.0,NV,L1,1,8.0,0.67,1146.0,247.83174015563756
8571594,2FC,1.0,NV,L2,0,2.0,0.17,1278.0,134.35028842544403
8571594,2FC,1.0,NV,L2,1,10.0,0.83,1084.4,73.64811229382902
8571594,2FC,1.0,NV,L3,0,4.0,0.33,1263.5,230.8888621537788
8571594,2FC,1.0,NV,L3,1,8.0,0.67,1156.375,123.49775879979131
8571594,2FC,1.0,NV,L4,0,4.0,0.33,1158.5,50.97384950475426
8571594,2FC,1.0,NV,L4,1,8.0,0.67,1152.0,101.28883734858728
8571594,2FC,1.0,NV,L5,0,3.0,0.25,1143.0,197.18772781286364
8571594,2FC,1.0,NV,L5,1,9.0,0.75,1155.2222222222222,178.08690138369087
8571594,2FC,1.0,SiSSN,L1,0,4.0,0.33,1222.0,133.15654946966245
8571594,2FC,1.0,SiSSN,L1,1,8.0,0.67,1200.625,116.58955785146452
